"Parameter","Year","Age","ParamName","median","lCI","uCI"
"N.tot[3]",2006,NA,"N.tot",389,230,815.024999999998
"N.tot[4]",2007,NA,"N.tot",534,286,1135.025
"N.tot[5]",2008,NA,"N.tot",564,332,1255
"N.tot[6]",2009,NA,"N.tot",336,202,678
"N.tot[7]",2010,NA,"N.tot",465,304,934
"N.tot[8]",2011,NA,"N.tot",1066,634,2249.025
"N.tot[9]",2012,NA,"N.tot",1207,724,2765.025
"N[1, 10]",2013,"0","N",212,96,593
"N[1, 11]",2014,"0","N",298,170,670
"N[1, 12]",2015,"0","N",605,323,1492.025
"N[1, 13]",2016,"0","N",423,234.975,1034
"N[1, 14]",2017,"0","N",285,146,702
"N[1, 15]",2018,"0","N",459,254,1174.025
"N[1, 16]",2019,"0","N",458,261,1430.07499999999
"N[1, 17]",2020,"0","N",244,124,609
"N[1, 18]",2021,"0","N",188,96,408
"N[1, 19]",2022,"0","N",290,158,761.024999999998
"N[1, 1]",2004,"0","N",80,32,269
"N[1, 20]",2023,"0","N",504,256,1334
"N[1, 21]",2024,"0","N",662.5,183,1134
"N[1, 2]",2005,"0","N",221,124,514
"N[1, 3]",2006,"0","N",227,123,498
"N[1, 4]",2007,"0","N",363,178,839
"N[1, 5]",2008,"0","N",325,174,787.024999999998
"N[1, 6]",2009,"0","N",164,84,365
"N[1, 7]",2010,"0","N",330,205,721
"N[1, 8]",2011,"0","N",780,434,1792
"N[1, 9]",2012,"0","N",707,386,1766
"N[2, 10]",2013,"1","N",60,27,138
"N[2, 11]",2014,"1","N",30,10,75
"N[2, 12]",2015,"1","N",113,66,230
"N[2, 13]",2016,"1","N",255,154,524
"N[2, 14]",2017,"1","N",76,38,162
"N[2, 15]",2018,"1","N",58,27,127
"N[2, 16]",2019,"1","N",104,49,239
"N[2, 17]",2020,"1","N",106,57,239
"N[2, 18]",2021,"1","N",42,20,93
"N[2, 19]",2022,"1","N",53,27,108
"N[2, 1]",2004,"1","N",90,49,213
"N[2, 20]",2023,"1","N",138,70,317
"N[2, 21]",2024,"1","N",129,47,319
"N[2, 2]",2005,"1","N",24,12,51
"N[2, 3]",2006,"1","N",63,35,132
"N[2, 4]",2007,"1","N",72,39,151
"N[2, 5]",2008,"1","N",137,79,285
"N[2, 6]",2009,"1","N",44,21,100
"N[2, 7]",2010,"1","N",43,24,89
"N[2, 8]",2011,"1","N",189,117,379
"N[2, 9]",2012,"1","N",311,187,631
"N[3, 10]",2013,"2","N",161,88,382.024999999998
"N[3, 11]",2014,"2","N",30,12,73
"N[3, 12]",2015,"2","N",17,6,49
"N[3, 13]",2016,"2","N",75,40,165
"N[3, 14]",2017,"2","N",152,87,320.024999999998
"N[3, 15]",2018,"2","N",44,21,98
"N[3, 16]",2019,"2","N",31,12,77
"N[3, 17]",2020,"2","N",46,18,142
"N[3, 18]",2021,"2","N",51,24,126
"N[3, 19]",2022,"2","N",22,9,53
"N[3, 1]",2004,"2","N",112,60,295
"N[3, 20]",2023,"2","N",30,12,74
"N[3, 21]",2024,"2","N",79,29,202
"N[3, 2]",2005,"2","N",52,29,116
"N[3, 3]",2006,"2","N",12,5,29
"N[3, 4]",2007,"2","N",35,18,83
"N[3, 5]",2008,"2","N",44,22,108
"N[3, 6]",2009,"2","N",71,38,159
"N[3, 7]",2010,"2","N",24,12,53
"N[3, 8]",2011,"2","N",27,13,64
"N[3, 9]",2012,"2","N",127,70,294
"N[4, 10]",2013,"3","N",63,32,151
"N[4, 11]",2014,"3","N",78,42,175
"N[4, 12]",2015,"3","N",17,6,47
"N[4, 13]",2016,"3","N",11,3,31
"N[4, 14]",2017,"3","N",42,21,94
"N[4, 15]",2018,"3","N",88,49,184
"N[4, 16]",2019,"3","N",25,11,59
"N[4, 17]",2020,"3","N",14,5,41
"N[4, 18]",2021,"3","N",22,8,62
"N[4, 19]",2022,"3","N",27,11,66
"N[4, 1]",2004,"3","N",28,10,91
"N[4, 20]",2023,"3","N",13,4,36
"N[4, 21]",2024,"3","N",17,5,45
"N[4, 2]",2005,"3","N",60,34,136
"N[4, 3]",2006,"3","N",27,14,64
"N[4, 4]",2007,"3","N",6,1,17
"N[4, 5]",2008,"3","N",22,10,54
"N[4, 6]",2009,"3","N",21,10,49
"N[4, 7]",2010,"3","N",36,19,76
"N[4, 8]",2011,"3","N",15,7,38
"N[4, 9]",2012,"3","N",19,8,48
"N[5, 10]",2013,"4+","N",34,19,77
"N[5, 11]",2014,"4+","N",52,29,107
"N[5, 12]",2015,"4+","N",79,44,178
"N[5, 13]",2016,"4+","N",65,35,147
"N[5, 14]",2017,"4+","N",46,24,98
"N[5, 15]",2018,"4+","N",54,30,106
"N[5, 16]",2019,"4+","N",85,50,168
"N[5, 17]",2020,"4+","N",53,26,120
"N[5, 18]",2021,"4+","N",35,17,80
"N[5, 19]",2022,"4+","N",32,14,73
"N[5, 1]",2004,"4+","N",53,25,143
"N[5, 20]",2023,"4+","N",37,16,95
"N[5, 21]",2024,"4+","N",30,10,79
"N[5, 2]",2005,"4+","N",47,26,106
"N[5, 3]",2006,"4+","N",56,31,125
"N[5, 4]",2007,"4+","N",47,25,109
"N[5, 5]",2008,"4+","N",35,18,81
"N[5, 6]",2009,"4+","N",31,16,64
"N[5, 7]",2010,"4+","N",29,16,56
"N[5, 8]",2011,"4+","N",42,22,94
"N[5, 9]",2012,"4+","N",41,21,95
"Psi[1, 10]",2013,"0","Psi",0,0,0
"Psi[1, 11]",2014,"0","Psi",0,0,0
"Psi[1, 12]",2015,"0","Psi",0,0,0
"Psi[1, 13]",2016,"0","Psi",0,0,0
"Psi[1, 14]",2017,"0","Psi",0,0,0
"Psi[1, 15]",2018,"0","Psi",0,0,0
"Psi[1, 16]",2019,"0","Psi",0,0,0
"Psi[1, 17]",2020,"0","Psi",0,0,0
"Psi[1, 18]",2021,"0","Psi",0,0,0
"Psi[1, 19]",2022,"0","Psi",0,0,0
"Psi[1, 1]",2004,"0","Psi",0,0,0
"Psi[1, 20]",2023,"0","Psi",0,0,0
"Psi[1, 21]",2024,"0","Psi",0,0,0
